"text,label"
"what's the weather like in Chennai,""weather"""
"tell me the weather in Mumbai,""weather"""
"how?s the climate in Bangalore today?,""weather"""
"weather in Delhi, please,""weather"""
"can you check the temperature in Kolkata?,""weather"""
"what's the temperature in New York today?,""weather"""
"how's the weather in London?,""weather"""
"what's the climate like in Tokyo?,""weather"""
"how?s the weather in Paris right now?,""weather"""
"please tell me the weather in San Francisco,""weather"""
"my wifi is not working,""tech"""
"laptop is slow and freezing,""tech"""
"I am getting an error in python when running my script,""tech"""
"can you help me with a system issue?,""tech"""
"I think my network is down, can you help?,""tech"""
"my computer is crashing frequently,""tech"""
"how can I fix my wifi?,""tech"""
"what should I do if my laptop is overheating?,""tech"""
"my system is lagging, what can I do?,""tech"""
"I?m getting an error when opening a file in Excel,""tech"""
"hey, what's up?,""casual"""
"hi, how are you doing?,""casual"""
"what's going on?,""casual"""
"how's everything?,""casual"""
"long time no see!,""casual"""
"hello, how?s your day going?,""casual"""
"what have you been up to?,""casual"""
"how was your weekend?,""casual"""
"hi there, what?s new?,""casual"""
"can you tell me the weather in Los Angeles?,""weather"""
"what?s the forecast for Miami?,""weather"""
"can you give me the current temperature in Chicago?,""weather"""
"what?s the weather report for Sydney?,""weather"""
"how's the weather in Berlin today?,""weather"""
"why is my internet so slow?,""tech"""
"my internet is cutting out frequently,""tech"""
"how do I fix my wifi router?,""tech"""
"can you help me debug this python error?,""tech"""
"my laptop has a black screen, what should I do?,""tech"""
"why is my laptop screen flickering?,""tech"""
"the app is crashing, what can I do?,""tech"""
"how can I speed up my computer?,""tech"""
"can you suggest a good laptop for gaming?,""tech"""
"how?s the weather in Cape Town?,""weather"""
"can you tell me the temperature in Moscow?,""weather"""
"what?s the weather like in Rio de Janeiro?,""weather"""
"what is the weather forecast for Dubai?,""weather"""
"what?s the weather in Johannesburg today?,""weather"""
"how can I fix my slow laptop?,""tech"""
"my laptop battery is draining fast, what should I do?,""tech"""
"can you help me with a system crash?,""tech"""
"I have an issue with my browser, any tips?,""tech"""
"my screen is freezing, how do I fix it?,""tech"""
"why is my laptop not connecting to wifi?,""tech"""
"what?s the temperature in Singapore?,""weather"""
"what?s the current weather in Los Angeles?,""weather"""
"how?s the climate in Melbourne?,""weather"""
"what?s the weather in Barcelona today?,""weather"""
"can you check the weather in Toronto?,""weather"""
"what is the weather like in Cape Town right now?,""weather"""
"hello, tell me about your day,""casual"""
"how?s the weather in the Caribbean?,""weather"""
"can you give me the weather update for Madrid?,""weather"""
"what?s the climate like in Buenos Aires?,""weather"""
"how?s the weather in Vienna?,""weather"""
"my laptop is running very slow,""tech"""
"how do I troubleshoot my wifi connection?,""tech"""
"why does my python code keep throwing errors?,""tech"""
"what should I do if my system won?t start?,""tech"""
"can you help me fix the wifi connection on my laptop?,""tech"""
"what?s the temperature in Madrid?,""weather"""
"how?s the weather in Cairo?,""weather"""
"what?s the current temperature in Toronto?,""weather"""
"can you tell me if it?s snowing in Prague?,""weather"""
"what?s the weather in Dubai?,""weather"""
"how?s the weather in Seoul today?,""weather"""
"hi, what's going on?,""casual"""
"hey, what are you up to?,""casual"""
"how?s your day so far?,""casual"""
"how are you feeling today?,""casual"""
"what did you do today?,""casual"""
"can you tell me if it?s raining in Dubai?,""weather"""
"what?s the weather like in Zurich?,""weather"""
"my internet is not working, help me!,""tech"""
"can you tell me how to fix the slow internet?,""tech"""
"how can I fix a python syntax error?,""tech"""
"my computer is slow when opening applications,""tech"""
"why is my system freezing randomly?,""tech"""
"can you suggest some ways to speed up my laptop?,""tech"""
"what?s the weather in Helsinki?,""weather"""
"can you check the weather in Cairo?,""weather"""
"how?s the weather in Athens?,""weather"""
"what?s the weather in Mexico City?,""weather"""
"what is the temperature in Jakarta?,""weather"""
"how?s the weather in Rome?,""weather"""
"what?s the temperature in Johannesburg?,""weather"""
"what should I do if my laptop screen goes black?,""tech"""
"how do I fix my python script error?,""tech"""
"what do I do if my laptop freezes on startup?,""tech"""
"how can I make my wifi faster?,""tech"""
"what?s the weather like in Stockholm?,""weather"""
"what?s the weather forecast for Cape Town?,""weather"""
"how?s the weather in Beijing today?,""weather"""
"what?s the temperature in San Francisco right now?,""weather"""
"what?s the current temperature in Amsterdam?,""weather"""
